**************************************************
Contador     Cliente      Factura    Cliente 
**************************************************
07AA484990      0927   -000036   11
08AA104864      0917   -000038   11
08AA104792      0919   -000039   13
07AC044030      0908   -000041   14
08AA304478      0926   -000044   14
08AA104897      0925   -000079   37
08AA106795      0903   -000105   56
08AA106796      0069   -000115   67
07AA484796      0023   -000171   121
07BA272059      0923   -000183   133
08AA106825      0922   -000293   222
08AA104804      0918   -000306   235
08AA104809      0918   -000307   235
08AA106811      0916   -000308   235
08AA106836      0931   -000320   244
08AA106101      0676   -000326   250
08AA106678      0023   -000333   255
07BA272025      0109   -000407   327
08AA104724      0930   -000507   425
08AA104701      0924   -000538   457
08AA104790      0809   -000614   546
08AA104749      0061   -000652   588
08AA104874      0929   -000744   702
08AA104840      0169   -000784   756
08AA106784      0394   -000819   795
11FA350849      0928   -000820   796
08AA106197      0032   -000869   872
07AC044030      0908   -000942   14
08AA304478      0926   -000945   14
08AA104897      0925   -000981   37
08AA106796      0069   -001016   67
07AA484796      0023   -001073   121
07BA272059      0923   -001085   133
08AA106836      0931   -001217   244
08AA106101      0676   -001223   250
08AA104724      0930   -001401   425
08AA104701      0924   -001432   457
08AA104749      0061   -001544   588
08AA104874      0929   -001636   702
08AA104840      0169   -001676   756
08AA106784      0394   -001711   795
11FA350849      0928   -001712   796
07AA484990      0927   -001799   917
08AA106678      0023   -001805   921
07AA484796      0023   -001974   121
08AA106836      0931   -002117   244
08AA104749      0061   -002441   588
08AA106678      0023   -002696   921

